row.number,BD,PFL,throt,ED,EP,GS,GSh,MP,BS,Site1,species,group
4541,0.329,0.168,2.429752066,0.071,0.607902736,0.013535536,1.413043478,0.446808511,0.510638298,MHMR,LEIUNI,Peren_longer
4551,0.35,0.184,2.154471545,0.07,0.48,0.01472,1.597222222,0.325714286,0.494285714,MHMR,LEIUNI,Peren_longer
4561,0.335,0.17,2.203125,0.064,0.650746269,0.013527494,1.385542169,0.495522388,0.537313433,MHMR,LEIUNI,Peren_longer
4571,0.314,0.172,2.709401709,0.068,0.605095541,0.016515775,1.465116279,0.417197452,0.522292994,MHMR,LEIUNI,Peren_longer
4581,0.342,0.19,2.008064516,0.072,0.520467836,0.013368056,1.590909091,0.301169591,0.520467836,MHMR,LEIUNI,Peren_longer
4591,0.34,0.167,2.760330579,0.083,0.564705882,0.011827365,1.642857143,0.388235294,0.485294118,MHMR,LEIUNI,Peren_longer
4601,0.356,0.217,2.239130435,0.057,0.558988764,0.022148258,2.272727273,0.457865169,0.533707865,BSBC,LEIUNI,Intermittent
4615,0.347,0.198,1.902985075,0.075,0.504322767,0.012463477,1.615384615,0.383285303,0.515850144,BSBC,LEIUNI,Intermittent
4621,0.334,0.186,2.171875,0.067,0.556886228,0.013221297,1.814285714,0.431137725,0.550898204,BSBC,LEIUNI,Intermittent
4631,0.351,0.206,2.236220472,0.076,0.504273504,0.010291824,1.527272727,0.356125356,0.495726496,BSBC,LEIUNI,Intermittent
4641,0.328,0.207,2.359375,0.078,0.548780488,0.01467128,1.65625,0.417682927,0.515243902,BSBC,LEIUNI,Intermittent
4651,0.341,0.211,2.04,0.074,0.495601173,0.01179645,1.589285714,0.363636364,0.507331378,BSBC,LEIUNI,Intermittent
4661,0.335,0.216,2.248120301,0.083,0.546268657,0.01106004,1.54,0.429850746,0.52238806,BSBC,LEIUNI,Intermittent
4671,0.343,0.204,2.558139535,0.076,0.623906706,0.016316667,1.348484848,0.536443149,0.612244898,BSBC,LEIUNI,Intermittent
4681,0.332,0.213,2.355932203,0.072,0.481927711,0.010085449,1.588235294,0.358433735,0.503012048,BSBC,LEIUNI,Intermittent
4691,0.363,0.19,2.25,0.082,0.567493113,0.009776786,1.738095238,0.451790634,0.526170799,BSBC,LEIUNI,Intermittent
4701,0.337,0.203,2.10483871,0.086,0.59347181,0.01094876,1.565217391,0.465875371,0.537091988,BSBC,LEIUNI,Intermittent
4715,0.338,0.195,2.122137405,0.081,0.482248521,0.01048127,1.549019608,0.334319527,0.523668639,BSBC,LEIUNI,Intermittent
4721,0.337,0.202,2.104,0.079,0.548961424,0.010720661,1.468085106,0.397626113,0.602373887,BSBC,LEIUNI,Intermittent
